wandb: WARNING The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
100%|██████████| 25/25 [08:23<00:00, 20.12s/it]
{'loss': 0.0, 'grad_norm': 0.2834038734436035, 'learning_rate': 1.9200000000000003e-05, 'completion_length': 85.703125, 'rewards/reward_function': -277.390625, 'reward': -277.390625, 'reward_std': 80.39103317260742, 'kl': 0.0, 'epoch': 0.04}
{'loss': 0.0001, 'grad_norm': 0.23211750388145447, 'learning_rate': 1.04e-05, 'completion_length': 82.75, 'rewards/reward_function': -270.984375, 'reward': -270.984375, 'reward_std': 68.19339752197266, 'kl': 0.0014631245867349207, 'epoch': 0.48}
{'loss': 0.0001, 'grad_norm': 0.264576256275177, 'learning_rate': 9.600000000000001e-06, 'completion_length': 79.84375, 'rewards/reward_function': -267.859375, 'reward': -267.859375, 'reward_std': 76.96783447265625, 'kl': 0.0016751131624914706, 'epoch': 0.52}
{'loss': 0.0001, 'grad_norm': 0.2752315104007721, 'learning_rate': 8.8e-06, 'completion_length': 81.265625, 'rewards/reward_function': -278.921875, 'reward': -278.921875, 'reward_std': 68.59393310546875, 'kl': 0.0015728119760751724, 'epoch': 0.56}
{'loss': 0.0001, 'grad_norm': 0.30693987011909485, 'learning_rate': 8.000000000000001e-06, 'completion_length': 88.203125, 'rewards/reward_function': -292.859375, 'reward': -292.859375, 'reward_std': 63.49797439575195, 'kl': 0.0018168071983382106, 'epoch': 0.6}
{'loss': 0.0001, 'grad_norm': 0.2786480486392975, 'learning_rate': 7.2000000000000005e-06, 'completion_length': 81.5625, 'rewards/reward_function': -273.546875, 'reward': -273.546875, 'reward_std': 88.95013809204102, 'kl': 0.0017033035983331501, 'epoch': 0.64}
{'loss': 0.0001, 'grad_norm': 0.2064569741487503, 'learning_rate': 6.4000000000000006e-06, 'completion_length': 92.890625, 'rewards/reward_function': -311.671875, 'reward': -311.671875, 'reward_std': 54.989837646484375, 'kl': 0.0015575819998048246, 'epoch': 0.68}
{'loss': 0.0001, 'grad_norm': 0.3180369734764099, 'learning_rate': 5.600000000000001e-06, 'completion_length': 86.09375, 'rewards/reward_function': -280.984375, 'reward': -280.984375, 'reward_std': 81.04706954956055, 'kl': 0.0019629805465228856, 'epoch': 0.72}
{'loss': 0.0001, 'grad_norm': 0.3074144721031189, 'learning_rate': 4.800000000000001e-06, 'completion_length': 85.5625, 'rewards/reward_function': -277.5625, 'reward': -277.5625, 'reward_std': 78.90948104858398, 'kl': 0.0017740768380463123, 'epoch': 0.76}
{'loss': 0.0001, 'grad_norm': 0.25547683238983154, 'learning_rate': 4.000000000000001e-06, 'completion_length': 84.640625, 'rewards/reward_function': -286.234375, 'reward': -286.234375, 'reward_std': 74.25099182128906, 'kl': 0.001900654984638095, 'epoch': 0.8}
{'loss': 0.0001, 'grad_norm': 0.31038206815719604, 'learning_rate': 3.2000000000000003e-06, 'completion_length': 85.46875, 'rewards/reward_function': -272.46875, 'reward': -272.46875, 'reward_std': 68.92900848388672, 'kl': 0.0022556924959644675, 'epoch': 0.84}
{'loss': 0.0001, 'grad_norm': 0.2849962115287781, 'learning_rate': 2.4000000000000003e-06, 'completion_length': 85.5, 'rewards/reward_function': -278.515625, 'reward': -278.515625, 'reward_std': 71.02891159057617, 'kl': 0.0018461740110069513, 'epoch': 0.88}
{'loss': 0.0001, 'grad_norm': 0.3565835654735565, 'learning_rate': 1.6000000000000001e-06, 'completion_length': 83.90625, 'rewards/reward_function': -264.25, 'reward': -264.25, 'reward_std': 93.6701431274414, 'kl': 0.0016755255055613816, 'epoch': 0.92}
{'loss': 0.0001, 'grad_norm': 0.23987890779972076, 'learning_rate': 8.000000000000001e-07, 'completion_length': 87.0, 'rewards/reward_function': -285.75, 'reward': -285.75, 'reward_std': 71.33893585205078, 'kl': 0.0016624656273052096, 'epoch': 0.96}
{'loss': 0.0001, 'grad_norm': 0.23617419600486755, 'learning_rate': 0.0, 'completion_length': 89.125, 'rewards/reward_function': -290.671875, 'reward': -290.671875, 'reward_std': 57.953731536865234, 'kl': 0.001783758751116693, 'epoch': 1.0}
{'train_runtime': 503.1155, 'train_samples_per_second': 0.398, 'train_steps_per_second': 0.05, 'train_loss': 6.623108871281147e-05, 'epoch': 1.0}
model.safetensors: 100%|██████████| 269M/269M [00:13<00:00, 20.4MB/s] 
